,date,deaths_ca,cases_ca,cases_100k_ca,cases_14_100k_ca,deaths_uk,cases_uk,cases_100k_uk,cases_14_100k_uk,deaths_us,cases_us,cases_100k_us,cases_14_100k_us
0,12/31/2019,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1/1/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1/2/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1/3/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1/4/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1/5/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1/6/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1/7/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1/8/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1/9/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1/10/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1/11/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1/12/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1/13/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1/14/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1/15/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1/16/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1/17/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1/18/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1/19/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1/20/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1/21/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,1/22/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,1/23/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24,1/24/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,1/25/2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
26,1/26/2020,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
27,1/27/2020,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
28,1/28/2020,0,2,0.01,0.01,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
29,1/29/2020,0,3,0.01,0.01,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
30,1/30/2020,0,3,0.01,0.01,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
31,1/31/2020,0,3,0.01,0.01,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
32,2/1/2020,0,4,0.01,0.01,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0
33,2/2/2020,0,4,0.01,0.01,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0
34,2/3/2020,0,4,0.01,0.01,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0
35,2/4/2020,0,4,0.01,0.01,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0
36,2/5/2020,0,5,0.01,0.01,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0
37,2/6/2020,0,5,0.01,0.01,0.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0
38,2/7/2020,0,7,0.02,0.02,0.0,4.0,0.01,0.01,0.0,12.0,0.0,0.0
39,2/8/2020,0,7,0.02,0.02,0.0,4.0,0.01,0.01,0.0,12.0,0.0,0.0
40,2/9/2020,0,7,0.02,0.02,0.0,4.0,0.01,0.01,0.0,12.0,0.0,0.0
41,2/10/2020,0,7,0.02,0.01,0.0,8.0,0.01,0.01,0.0,12.0,0.0,0.0
42,2/11/2020,0,7,0.02,0.01,0.0,9.0,0.01,0.01,0.0,13.0,0.0,0.0
43,2/12/2020,0,7,0.02,0.01,0.0,9.0,0.01,0.01,0.0,13.0,0.0,0.0
44,2/13/2020,0,7,0.02,0.01,0.0,10.0,0.02,0.02,0.0,14.0,0.0,0.0
45,2/14/2020,0,7,0.02,0.01,0.0,10.0,0.02,0.01,0.0,15.0,0.0,0.0
46,2/15/2020,0,8,0.02,0.01,0.0,10.0,0.02,0.01,0.0,15.0,0.0,0.0
47,2/16/2020,0,8,0.02,0.01,0.0,10.0,0.02,0.01,0.0,15.0,0.0,0.0
48,2/17/2020,0,8,0.02,0.01,0.0,10.0,0.02,0.01,0.0,15.0,0.0,0.0
49,2/18/2020,0,8,0.02,0.01,0.0,10.0,0.02,0.01,0.0,15.0,0.0,0.0
50,2/19/2020,0,8,0.02,0.01,0.0,10.0,0.02,0.01,0.0,15.0,0.0,0.0
51,2/20/2020,0,8,0.02,0.0,0.0,10.0,0.02,0.01,0.0,15.0,0.0,0.0
52,2/21/2020,0,9,0.02,0.01,0.0,10.0,0.02,0.01,0.0,16.0,0.0,0.0
53,2/22/2020,0,9,0.02,0.01,0.0,10.0,0.02,0.01,0.0,35.0,0.01,0.01
54,2/23/2020,0,9,0.02,0.01,0.0,11.0,0.02,0.0,0.0,35.0,0.01,0.01
55,2/24/2020,0,9,0.02,0.01,0.0,11.0,0.02,0.0,0.0,35.0,0.01,0.01
56,2/25/2020,0,11,0.03,0.01,0.0,11.0,0.02,0.0,0.0,53.0,0.02,0.01
57,2/26/2020,0,11,0.03,0.01,0.0,13.0,0.02,0.0,0.0,53.0,0.02,0.01
58,2/27/2020,0,12,0.03,0.01,0.0,18.0,0.03,0.01,0.0,59.0,0.02,0.01
59,2/28/2020,0,14,0.04,0.02,0.0,22.0,0.03,0.02,0.0,60.0,0.02,0.01
60,2/29/2020,0,16,0.04,0.02,0.0,30.0,0.05,0.03,0.0,66.0,0.02,0.02
61,3/1/2020,0,20,0.05,0.03,0.0,42.0,0.06,0.05,1.0,69.0,0.02,0.02
62,3/2/2020,0,24,0.06,0.04,0.0,47.0,0.07,0.06,2.0,89.0,0.03,0.02
63,3/3/2020,0,27,0.07,0.05,0.0,69.0,0.1,0.09,6.0,103.0,0.03,0.03
64,3/4/2020,0,30,0.08,0.06,0.0,109.0,0.16,0.15,9.0,125.0,0.04,0.03
65,3/5/2020,0,33,0.09,0.06,0.0,164.0,0.25,0.23,11.0,159.0,0.05,0.04
66,3/6/2020,0,45,0.12,0.1,0.0,220.0,0.33,0.32,12.0,233.0,0.07,0.06
67,3/7/2020,0,51,0.14,0.11,1.0,271.0,0.41,0.39,14.0,338.0,0.1,0.09
68,3/8/2020,0,57,0.15,0.13,2.0,352.0,0.53,0.51,17.0,433.0,0.13,0.12
69,3/9/2020,0,62,0.17,0.14,2.0,412.0,0.62,0.6,21.0,554.0,0.17,0.15
70,3/10/2020,1,77,0.21,0.18,3.0,469.0,0.7,0.68,26.0,754.0,0.23,0.21
71,3/11/2020,1,93,0.25,0.22,7.0,617.0,0.93,0.9,28.0,1025.0,0.31,0.29
72,3/12/2020,1,103,0.28,0.24,7.0,876.0,1.31,1.28,30.0,1312.0,0.4,0.38
73,3/13/2020,1,138,0.37,0.33,9.0,1282.0,1.92,1.88,40.0,1663.0,0.51,0.49
74,3/14/2020,1,176,0.47,0.42,10.0,1766.0,2.65,2.59,47.0,2174.0,0.66,0.64
75,3/15/2020,1,244,0.65,0.59,29.0,2244.0,3.37,3.3,57.0,2951.0,0.9,0.87
76,3/16/2020,1,304,0.81,0.74,43.0,2605.0,3.91,3.81,69.0,3774.0,1.15,1.12
77,3/17/2020,4,424,1.13,1.05,65.0,3047.0,4.57,4.41,85.0,4661.0,1.42,1.38
78,3/18/2020,8,569,1.52,1.43,82.0,3658.0,5.49,5.24,108.0,6427.0,1.95,1.9
79,3/19/2020,9,690,1.84,1.72,116.0,4427.0,6.64,6.31,150.0,9415.0,2.86,2.79
80,3/20/2020,10,846,2.26,2.13,162.0,5426.0,8.14,7.73,150.0,14250.0,4.33,4.23
81,3/21/2020,12,971,2.6,2.44,194.0,6481.0,9.72,9.2,260.0,19624.0,5.96,5.83
82,3/22/2020,18,1302,3.48,3.31,252.0,7736.0,11.61,10.99,340.0,26747.0,8.13,7.96
83,3/23/2020,20,1430,3.82,3.62,288.0,8934.0,13.4,12.7,471.0,35206.0,10.7,10.47
84,3/24/2020,24,1646,4.4,4.15,364.0,10312.0,15.47,14.55,590.0,46442.0,14.11,13.8
85,3/25/2020,27,1959,5.24,4.96,512.0,12650.0,18.98,17.67,801.0,55231.0,16.78,16.39
86,3/26/2020,35,3385,9.05,8.68,703.0,15025.0,22.54,20.62,1050.0,69194.0,21.03,20.52
87,3/27/2020,39,4018,10.74,10.27,884.0,17717.0,26.58,23.93,1296.0,85991.0,26.13,25.47
88,3/28/2020,53,4675,12.5,11.84,1172.0,20804.0,31.22,27.85,1707.0,104686.0,31.81,30.92
89,3/29/2020,60,5386,14.4,13.58,1464.0,24001.0,36.01,32.1,2191.0,124665.0,37.88,36.74
90,3/30/2020,61,6255,16.72,15.59,1676.0,26823.0,40.25,35.67,2509.0,143025.0,43.46,42.05
91,3/31/2020,89,7424,19.84,18.32,2050.0,29681.0,44.53,39.05,3170.0,164620.0,50.03,48.07
92,4/1/2020,96,8536,22.82,20.97,2453.0,33954.0,50.95,44.3,4079.0,189618.0,57.62,54.76
93,4/2/2020,109,9595,25.65,23.39,3125.0,38468.0,57.72,49.58,5138.0,216721.0,65.86,61.53
94,4/3/2020,138,11268,30.12,27.52,3782.0,43381.0,65.09,55.37,6053.0,245540.0,74.62,68.65
95,4/4/2020,187,12519,33.46,29.98,4518.0,48249.0,72.39,60.79,7157.0,277965.0,84.47,76.34
96,4/5/2020,231,13882,37.11,33.28,5274.0,53160.0,79.76,66.36,8501.0,312237.0,94.89,84.19
97,4/6/2020,280,15496,41.42,37.02,5873.0,57180.0,85.8,70.32,9647.0,337635.0,102.6,88.49
98,4/7/2020,323,16653,44.51,39.28,6440.0,60772.0,91.18,72.2,10989.0,368196.0,111.89,95.11
99,4/8/2020,380,17883,47.8,38.75,7545.0,66054.0,99.11,76.57,12895.0,398809.0,121.19,100.17
100,4/9/2020,435,19274,51.52,40.78,8575.0,71504.0,107.29,80.7,14817.0,432132.0,131.32,105.19
101,4/10/2020,509,20748,55.46,42.96,9691.0,76635.0,114.99,83.77,16690.0,466033.0,141.62,109.81
102,4/11/2020,569,22133,59.16,44.76,10813.0,81493.0,122.28,86.26,18777.0,501560.0,152.42,114.54
103,4/12/2020,653,23301,62.28,45.56,11656.0,85806.0,128.75,88.5,20608.0,529951.0,161.05,117.58
104,4/13/2020,717,24365,65.13,45.28,12313.0,89385.0,134.12,89.58,22108.0,557571.0,169.44,119.41
105,4/14/2020,780,25663,68.6,45.78,13037.0,92874.0,139.35,88.41,23649.0,582594.0,177.05,119.42
106,4/15/2020,903,27046,72.29,46.65,14113.0,97052.0,145.62,87.9,26057.0,609516.0,185.23,119.37
107,4/16/2020,1010,28364,75.82,45.7,14993.0,101378.0,152.11,87.02,30985.0,639664.0,194.39,119.77
108,4/17/2020,1193,30081,80.41,46.94,16029.0,106443.0,159.71,87.32,33284.0,671331.0,204.01,119.54
109,4/18/2020,1309,31872,85.19,48.09,16942.0,111735.0,167.65,87.89,37054.0,702164.0,213.38,118.5
110,4/19/2020,1467,33341,89.12,47.7,18047.0,116691.0,175.09,89.29,38910.0,735086.0,223.39,120.78
111,4/20/2020,1580,34777,92.96,48.45,18479.0,121412.0,182.17,90.99,40682.0,759687.0,230.86,118.97
112,4/21/2020,1690,36823,98.43,50.63,19049.0,125265.0,187.95,88.84,42539.0,787752.0,239.39,118.2
113,4/22/2020,1834,38413,102.68,51.16,20273.0,130119.0,195.24,87.95,45063.0,825041.0,250.72,119.4
114,4/23/2020,1974,40179,107.4,51.94,21120.0,134879.0,202.38,87.39,46784.0,842629.0,256.07,114.44
115,4/24/2020,2146,42099,112.53,53.37,21802.0,140366.0,210.61,88.34,49963.0,869172.0,264.13,111.71
116,4/25/2020,2302,43877,117.28,55.0,22812.0,145524.0,218.35,89.6,51017.0,890524.0,270.62,109.58
117,4/26/2020,2465,45341,121.2,56.07,23627.0,150494.0,225.81,91.69,53189.0,939053.0,285.37,115.93
118,4/27/2020,2560,46884,125.32,56.72,23991.0,154242.0,231.43,92.08,54876.0,965910.0,293.53,116.49
119,4/28/2020,2707,48489,129.61,57.32,24311.0,157715.0,236.64,91.02,56245.0,988451.0,300.38,115.16
120,4/29/2020,2859,50015,133.69,57.87,25280.0,162421.0,243.7,91.59,58355.0,1012583.0,307.72,113.33
121,4/30/2020,2996,51587,137.89,57.49,26049.0,167150.0,250.8,91.09,60966.0,1039909.0,316.02,112.01
122,5/1/2020,3184,53236,142.3,57.11,26683.0,172592.0,258.96,91.31,63006.0,1069826.0,325.11,111.73
123,5/2/2020,3391,55061,147.18,58.06,27381.0,177558.0,266.42,91.33,65068.0,1103781.0,335.43,112.04
124,5/3/2020,3566,56714,151.6,58.64,27965.0,182295.0,273.52,91.35,66385.0,1133069.0,344.33,113.47
125,5/4/2020,3682,59474,158.97,60.55,28218.0,185524.0,278.37,90.42,67682.0,1158041.0,351.92,112.53
126,5/5/2020,3854,60772,162.44,59.77,28490.0,188506.0,282.84,87.61,68934.0,1180634.0,358.78,108.06
127,5/6/2020,4043,62046,165.85,58.45,29216.0,191895.0,287.93,85.55,71078.0,1204475.0,366.03,109.96
128,5/7/2020,4232,63496,169.73,57.19,29863.0,195577.0,293.45,82.84,73431.0,1228603.0,373.36,109.23
129,5/8/2020,4408,64922,173.54,56.25,30321.0,199404.0,299.19,80.84,75670.0,1256972.0,381.98,111.36
130,5/9/2020,4569,66434,177.58,56.38,30900.0,203171.0,304.85,79.04,77180.0,1283929.0,390.17,104.8
131,5/10/2020,4693,67702,180.97,55.65,31175.0,206234.0,309.44,78.01,78794.0,1309541.0,397.96,104.43
132,5/11/2020,4871,68848,184.03,54.42,31392.0,208391.0,312.68,76.04,79528.0,1329799.0,404.11,103.73
133,5/12/2020,4993,69981,187.06,53.37,31579.0,210720.0,316.17,72.47,80684.0,1347916.0,409.62,101.9
134,5/13/2020,5169,71157,190.2,52.31,32193.0,214306.0,321.55,70.75,82387.0,1369964.0,416.32,100.3
135,5/14/2020,5304,72278,193.2,50.9,32640.0,217708.0,326.66,67.69,84133.0,1390746.0,422.64,97.52
136,5/15/2020,5472,73401,196.2,49.02,32992.0,221015.0,331.62,65.2,85906.0,1417889.0,430.88,95.45
137,5/16/2020,5562,74602,199.41,47.81,33342.0,223643.0,335.56,62.04,87568.0,1443397.0,438.64,94.31
138,5/17/2020,5679,75853,202.76,43.78,33753.0,226169.0,339.35,60.99,88754.0,1467884.0,446.08,94.16
139,5/18/2020,5782,76991,205.8,43.35,33820.0,228248.0,342.47,59.63,89562.0,1486757.0,451.81,93.03
140,5/19/2020,5842,78061,208.66,42.81,33966.0,230086.0,345.23,57.3,90353.0,1508598.0,458.45,92.42
141,5/20/2020,5912,79101,211.44,41.71,34466.0,232675.0,349.11,55.66,91921.0,1528568.0,464.52,91.16
142,5/21/2020,6030,80091,214.08,40.55,34794.0,235727.0,353.69,54.5,93439.0,1551853.0,471.59,89.61
143,5/22/2020,6152,81313,217.35,39.77,35067.0,238445.0,357.77,52.93,94702.0,1577287.0,479.32,89.15
144,5/23/2020,6250,82469,220.44,39.47,35358.0,241019.0,361.63,52.19,96007.0,1601434.0,486.66,88.7
145,5/24/2020,6355,83610,223.49,39.46,35578.0,243081.0,364.73,52.05,97087.0,1622670.0,493.12,89.0
146,5/25/2020,6424,84688,226.37,39.31,35957.0,244608.0,367.02,50.85,97720.0,1643238.0,499.37,89.75
147,5/26/2020,6545,85700,229.08,38.87,36061.0,245972.0,369.07,47.51,98220.0,1662302.0,505.16,88.84
148,5/27/2020,6639,86636,231.58,38.38,36192.0,247596.0,371.5,44.85,98916.0,1681212.0,510.91,88.27
149,5/28/2020,6765,87508,233.91,37.71,36614.0,249268.0,374.01,42.39,100442.0,1699933.0,516.6,85.71
150,5/29/2020,6877,88501,236.56,37.15,36957.0,251103.0,376.77,41.2,101617.0,1721750.0,523.23,84.59
151,5/30/2020,6979,89407,238.99,36.23,37231.0,252863.0,379.41,40.05,102836.0,1747087.0,530.92,84.85
152,5/31/2020,7073,90179,241.05,35.25,37385.0,254390.0,381.7,39.22,103781.0,1770384.0,538.0,86.19
153,6/1/2020,7295,90936,243.07,34.41,37445.0,255515.0,383.38,38.15,104383.0,1790191.0,544.02,85.57
154,6/2/2020,7326,91694,245.1,33.66,37531.0,256594.0,385.0,35.89,105147.0,1811277.0,550.43,85.91
155,6/3/2020,7395,92399,246.98,32.9,37780.0,258035.0,387.17,33.47,106181.0,1831821.0,556.67,85.08
156,6/4/2020,7498,93074,248.79,31.44,38034.0,259519.0,389.39,31.62,107175.0,1851520.0,562.66,83.34
